###############################################################################
# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
# published at Apr 26, 2025 11:05:06 PM UTC
# published by kezod.xyz - Kezod Technologies
###############################################################################

45.33.119.0/24,US,US-TX,Richardson,
45.33.120.0/24,US,US-TX,Richardson,
45.33.121.0/24,US,US-TX,Richardson,
45.33.122.0/24,US,US-TX,Richardson,
45.33.123.0/24,US,US-TX,Richardson,
45.33.124.0/24,US,US-TX,Richardson,
45.33.125.0/24,US,US-TX,Richardson,
45.33.126.0/24,US,US-TX,Richardson,
45.33.127.0/24,US,US-TX,Richardson,
45.79.0.0/24,US,US-TX,Richardson,
45.79.1.0/24,US,US-TX,Richardson,
45.79.2.0/24,US,US-TX,Richardson,
45.79.3.0/24,US,US-TX,Richardson,
45.79.4.0/24,US,US-TX,Richardson,
45.79.5.0/24,US,US-TX,Richardson,
45.79.6.0/24,US,US-TX,Richardson,
45.79.7.0/24,US,US-TX,Richardson,
45.79.8.0/24,US,US-TX,Richardson,
45.79.9.0/24,US,US-TX,Richardson,
45.79.10.0/24,US,US-TX,Richardson,
45.79.11.0/24,US,US-TX,Richardson,
45.79.13.0/24,US,US-TX,Richardson,
45.79.14.0/24,US,US-TX,Richardson,
45.79.15.0/24,US,US-TX,Richardson,
45.79.16.0/24,US,US-TX,Richardson,
45.79.17.0/24,US,US-TX,Richardson,
45.79.18.0/24,US,US-TX,Richardson,
45.79.19.0/24,US,US-TX,Richardson,
45.79.20.0/24,US,US-TX,Richardson,
45.79.21.0/24,US,US-TX,Richardson,
45.79.22.0/24,US,US-TX,Richardson,
45.79.23.0/24,US,US-TX,Richardson,
45.79.24.0/24,US,US-TX,Richardson,
45.79.25.0/24,US,US-TX,Richardson,
45.79.26.0/24,US,US-TX,Richardson,
45.79.27.0/24,US,US-TX,Richardson,
45.79.28.0/24,US,US-TX,Richardson,
45.79.29.0/24,US,US-TX,Richardson,
45.79.30.0/24,US,US-TX,Richardson,
45.79.31.0/24,US,US-TX,Richardson,
45.79.32.0/24,US,US-TX,Richardson,
45.79.33.0/24,US,US-TX,Richardson,
45.79.34.0/24,US,US-TX,Richardson,
45.79.35.0/24,US,US-TX,Richardson,
45.79.36.0/24,US,US-TX,Richardson,
45.79.37.0/24,US,US-TX,Richardson,
45.79.38.0/24,US,US-TX,Richardson,
45.79.39.0/24,US,US-TX,Richardson,
45.79.40.0/24,US,US-TX,Richardson,
45.79.41.0/24,US,US-TX,Richardson,
45.79.42.0/24,US,US-TX,Richardson,
45.79.43.0/24,US,US-TX,Richardson,
45.79.44.0/24,US,US-TX,Richardson,
45.79.45.0/24,US,US-TX,Richardson,
45.79.46.0/24,US,US-TX,Richardson,
45.79.47.0/24,US,US-TX,Richardson,
45.79.48.0/24,US,US-TX,Richardson,
45.79.49.0/24,US,US-TX,Richardson,
45.79.50.0/24,US,US-TX,Richardson,
45.79.51.0/24,US,US-TX,Richardson,
45.79.52.0/24,US,US-TX,Richardson,
45.79.53.0/24,US,US-TX,Richardson,
45.79.54.0/24,US,US-TX,Richardson,
45.79.55.0/24,US,US-TX,Richardson,
45.79.56.0/24,US,US-TX,Richardson,
45.79.57.0/24,US,US-TX,Richardson,
45.79.58.0/24,US,US-TX,Richardson,
45.79.59.0/24,US,US-TX,Richardson,
45.79.60.0/24,US,US-TX,Richardson,
45.79.61.0/24,US,US-TX,Richardson,
45.79.62.0/24,US,US-TX,Richardson,
45.79.63.0/24,US,US-TX,Richardson,
45.79.240.0/24,US,US-TX,Richardson,
45.79.241.0/24,US,US-TX,Richardson,
45.79.242.0/24,US,US-TX,Richardson,
45.79.243.0/24,US,US-TX,Richardson,
172.104.192.0/24,US,US-TX,Richardson,
172.104.193.0/24,US,US-TX,Richardson,
172.104.194.0/24,US,US-TX,Richardson,
172.104.195.0/24,US,US-TX,Richardson,
172.104.196.0/24,US,US-TX,Richardson,
172.104.197.0/24,US,US-TX,Richardson,
172.104.198.0/24,US,US-TX,Richardson,
172.104.199.0/24,US,US-TX,Richardson,
172.105.136.0/24,US,US-TX,Richardson,
172.105.137.0/24,US,US-TX,Richardson,
172.105.117.0/24,US,US-TX,Richardson,
192.46.216.0/24,US,US-TX,Richardson,
192.46.217.0/24,US,US-TX,Richardson,
192.46.218.0/24,US,US-TX,Richardson,
192.46.219.0/24,US,US-TX,Richardson,
192.53.160.0/24,US,US-TX,Richardson,
192.53.161.0/24,US,US-TX,Richardson,
192.53.162.0/24,US,US-TX,Richardson,
192.53.163.0/24,US,US-TX,Richardson,
192.53.164.0/24,US,US-TX,Richardson,
192.53.165.0/24,US,US-TX,Richardson,
192.53.166.0/24,US,US-TX,Richardson,
192.53.167.0/24,US,US-TX,Richardson,
192.53.170.0/24,US,US-TX,Richardson,
192.53.171.0/24,US,US-TX,Richardson,
194.195.216.0/24,US,US-TX,Richardson,
194.195.217.0/24,US,US-TX,Richardson,
194.195.218.0/24,US,US-TX,Richardson,
194.195.219.0/24,US,US-TX,Richardson,
194.195.220.0/24,US,US-TX,Richardson,
194.195.221.0/24,US,US-TX,Richardson,
194.195.222.0/24,US,US-TX,Richardson,
194.195.223.0/24,US,US-TX,Richardson,
170.187.132.0/24,US,US-TX,Richardson,
139.144.32.0/24,US,US-TX,Richardson,
139.144.33.0/24,US,US-TX,Richardson,
139.144.34.0/24,US,US-TX,Richardson,
139.144.35.0/24,US,US-TX,Richardson,
139.144.36.0/24,US,US-TX,Richardson,
139.144.37.0/24,US,US-TX,Richardson,
139.144.38.0/24,US,US-TX,Richardson,
139.144.39.0/24,US,US-TX,Richardson,
139.144.40.0/24,US,US-TX,Richardson,
139.144.41.0/24,US,US-TX,Richardson,
139.144.42.0/24,US,US-TX,Richardson,
139.144.43.0/24,US,US-TX,Richardson,
139.144.44.0/24,US,US-TX,Richardson,
139.144.45.0/24,US,US-TX,Richardson,
139.144.46.0/24,US,US-TX,Richardson,
139.144.47.0/24,US,US-TX,Richardson,
139.144.143.0/24,US,US-TX,Richardson,
139.144.224.0/24,US,US-TX,Richardson,
139.144.225.0/24,US,US-TX,Richardson,
139.144.226.0/24,US,US-TX,Richardson,
139.144.227.0/24,US,US-TX,Richardson,
139.144.228.0/24,US,US-TX,Richardson,
139.144.229.0/24,US,US-TX,Richardson,
139.144.230.0/24,US,US-TX,Richardson,
139.144.231.0/24,US,US-TX,Richardson,
143.42.144.0/24,US,US-TX,Richardson,
143.42.145.0/24,US,US-TX,Richardson,
143.42.146.0/24,US,US-TX,Richardson,
143.42.147.0/24,US,US-TX,Richardson,
143.42.148.0/24,US,US-TX,Richardson,
143.42.149.0/24,US,US-TX,Richardson,
143.42.150.0/24,US,US-TX,Richardson,
143.42.151.0/24,US,US-TX,Richardson,
143.42.152.0/24,US,US-TX,Richardson,
143.42.153.0/24,US,US-TX,Richardson,
143.42.154.0/24,US,US-TX,Richardson,
143.42.155.0/24,US,US-TX,Richardson,
143.42.156.0/24,US,US-TX,Richardson,
143.42.157.0/24,US,US-TX,Richardson,
143.42.158.0/24,US,US-TX,Richardson,
143.42.159.0/24,US,US-TX,Richardson,
64.62.190.0/24,US,US-CA,Fremont,
66.220.1.0/24,US,US-CA,Fremont,
65.19.178.0/24,US,US-CA,Fremont,
66.160.141.0/24,US,US-CA,Fremont,
64.62.231.0/24,US,US-CA,Fremont,
64.71.152.0/24,US,US-CA,Fremont,
65.49.60.0/24,US,US-CA,Fremont,
74.82.3.0/24,US,US-CA,Fremont,
74.82.5.0/24,US,US-CA,Fremont,
64.62.228.0/24,US,US-CA,Fremont,
74.207.240.0/24,US,US-CA,Fremont,
74.207.241.0/24,US,US-CA,Fremont,
74.207.242.0/24,US,US-CA,Fremont,
74.207.243.0/24,US,US-CA,Fremont,
74.207.244.0/24,US,US-CA,Fremont,
74.207.245.0/24,US,US-CA,Fremont,
74.207.246.0/24,US,US-CA,Fremont,
74.207.247.0/24,US,US-CA,Fremont,
74.207.248.0/24,US,US-CA,Fremont,
74.207.249.0/24,US,US-CA,Fremont,
74.207.250.0/24,US,US-CA,Fremont,
74.207.251.0/24,US,US-CA,Fremont,
74.207.252.0/24,US,US-CA,Fremont,
74.207.253.0/24,US,US-CA,Fremont,
74.207.254.0/24,US,US-CA,Fremont,
173.230.144.0/24,US,US-CA,Fremont,
173.230.145.0/24,US,US-CA,Fremont,
173.230.146.0/24,US,US-CA,Fremont,
173.230.147.0/24,US,US-CA,Fremont,
173.230.148.0/24,US,US-CA,Fremont,
173.230.149.0/24,US,US-CA,Fremont,
173.230.150.0/24,US,US-CA,Fremont,
173.230.151.0/24,US,US-CA,Fremont,
173.230.152.0/24,US,US-CA,Fremont,
173.230.153.0/24,US,US-CA,Fremont,
173.230.154.0/24,US,US-CA,Fremont,
173.230.155.0/24,US,US-CA,Fremont,
173.230.156.0/24,US,US-CA,Fremont,
173.230.157.0/24,US,US-CA,Fremont,
173.230.158.0/24,US,US-CA,Fremont,
173.255.208.0/24,US,US-CA,Fremont,
173.255.209.0/24,US,US-CA,Fremont,
173.255.210.0/24,US,US-CA,Fremont,
173.255.211.0/24,US,US-CA,Fremont,
173.255.212.0/24,US,US-CA,Fremont,
173.255.213.0/24,US,US-CA,Fremont,
173.255.214.0/24,US,US-CA,Fremont,
173.255.215.0/24,US,US-CA,Fremont,
173.255.216.0/24,US,US-CA,Fremont,
173.255.217.0/24,US,US-CA,Fremont,
173.255.218.0/24,US,US-CA,Fremont,
173.255.219.0/24,US,US-CA,Fremont,
